y,lbm_ux,analytical_ux
1,0.000118082,0.00011875
2,0.000348045,0.00034875
3,0.000568008,0.00056875
4,0.000777972,0.00077875
5,0.000977936,0.00097875
6,0.0011679,0.00116875
7,0.00134787,0.00134875
8,0.00151783,0.00151875
9,0.0016778,0.00167875
10,0.00182777,0.00182875
11,0.00196774,0.00196875
12,0.00209771,0.00209875
13,0.00221769,0.00221875
14,0.00232766,0.00232875
15,0.00242764,0.00242875
16,0.00251762,0.00251875
17,0.0025976,0.00259875
18,0.00266759,0.00266875
19,0.00272757,0.00272875
20,0.00277756,0.00277875
21,0.00281755,0.00281875
22,0.00284754,0.00284875
23,0.00286754,0.00286875
24,0.00287754,0.00287875
25,0.00287754,0.00287875
26,0.00286754,0.00286875
27,0.00284754,0.00284875
28,0.00281755,0.00281875
29,0.00277756,0.00277875
30,0.00272757,0.00272875
31,0.00266759,0.00266875
32,0.0025976,0.00259875
33,0.00251762,0.00251875
34,0.00242764,0.00242875
35,0.00232766,0.00232875
36,0.00221769,0.00221875
37,0.00209771,0.00209875
38,0.00196774,0.00196875
39,0.00182777,0.00182875
40,0.0016778,0.00167875
41,0.00151783,0.00151875
42,0.00134787,0.00134875
43,0.0011679,0.00116875
44,0.000977936,0.00097875
45,0.000777972,0.00077875
46,0.000568008,0.00056875
47,0.000348045,0.00034875
48,0.000118082,0.00011875
